Key-Generation-Duration
Picnic_L3_full,38 µs,37 µs,36 µs,36 µs,36 µs,38 µs,56 µs,53 µs,36 µs,37 µs,36 µs,36 µs,36 µs,36 µs,36 µs,35 µs,35 µs,42 µs,36 µs,36 µs,35 µs,37 µs,36 µs,35 µs,36 µs,37 µs,36 µs,36 µs,35 µs,37 µs,36 µs,36 µs,36 µs,37 µs,36 µs,36 µs,36 µs,37 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,35 µs,35 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,35 µs,36 µs,36 µs,36 µs,36 µs,36 µs,37 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,37 µs,36 µs,36 µs,36 µs,36 µs,36 µs,42 µs,57 µs,137 µs,38 µs,37 µs,37 µs,37 µs,37 µs,37 µs,37 µs,37 µs,37 µs,37 µs,37 µs,37 µs,37 µs,37 µs,37 µs,37 µs,36 µs,37 µs,37 µs,38 µs,37 µs,37 µs,37 µs,50 µs,59 µs,
Picnic_L5_full,386 µs,353 µs,347 µs,346 µs,347 µs,352 µs,346 µs,352 µs,347 µs,346 µs,353 µs,346 µs,384 µs,346 µs,345 µs,346 µs,352 µs,347 µs,346 µs,352 µs,346 µs,346 µs,347 µs,367 µs,347 µs,352 µs,346 µs,353 µs,383 µs,346 µs,352 µs,347 µs,488 µs,346 µs,385 µs,346 µs,346 µs,345 µs,346 µs,346 µs,346 µs,346 µs,346 µs,346 µs,352 µs,346 µs,365 µs,353 µs,346 µs,346 µs,346 µs,346 µs,346 µs,353 µs,346 µs,353 µs,383 µs,450 µs,396 µs,346 µs,346 µs,346 µs,346 µs,346 µs,346 µs,346 µs,346 µs,347 µs,351 µs,346 µs,346 µs,346 µs,346 µs,346 µs,346 µs,456 µs,490 µs,573 µs,690 µs,387 µs,367 µs,363 µs,383 µs,347 µs,346 µs,346 µs,462 µs,346 µs,467 µs,347 µs,347 µs,346 µs,346 µs,346 µs,347 µs,346 µs,346 µs,347 µs,346 µs,391 µs,
Key-Blinding-Duration
Picnic_L1_FS,231 µs,95 µs,137 µs,206 µs,93 µs,90 µs,116 µs,88 µs,89 µs,90 µs,90 µs,110 µs,85 µs,87 µs,88 µs,88 µs,87 µs,85 µs,87 µs,88 µs,87 µs,88 µs,85 µs,88 µs,87 µs,87 µs,86 µs,85 µs,87 µs,87 µs,87 µs,89 µs,86 µs,87 µs,87 µs,86 µs,88 µs,84 µs,108 µs,157 µs,96 µs,131 µs,94 µs,93 µs,92 µs,116 µs,89 µs,87 µs,90 µs,95 µs,103 µs,89 µs,85 µs,87 µs,88 µs,86 µs,87 µs,85 µs,86 µs,88 µs,87 µs,87 µs,86 µs,88 µs,87 µs,87 µs,88 µs,89 µs,87 µs,88 µs,87 µs,88 µs,85 µs,88 µs,87 µs,87 µs,87 µs,85 µs,86 µs,88 µs,86 µs,108 µs,96 µs,127 µs,90 µs,91 µs,90 µs,88 µs,110 µs,87 µs,87 µs,88 µs,85 µs,88 µs,87 µs,87 µs,87 µs,85 µs,87 µs,87 µs,
Picnic_L1_UR,87 µs,87 µs,84 µs,87 µs,87 µs,87 µs,87 µs,85 µs,86 µs,87 µs,87 µs,87 µs,86 µs,87 µs,88 µs,87 µs,88 µs,85 µs,88 µs,88 µs,87 µs,87 µs,91 µs,87 µs,87 µs,88 µs,87 µs,87 µs,109 µs,89 µs,89 µs,88 µs,88 µs,90 µs,105 µs,88 µs,88 µs,87 µs,89 µs,89 µs,87 µs,87 µs,86 µs,88 µs,87 µs,88 µs,87 µs,86 µs,87 µs,88 µs,126 µs,88 µs,85 µs,87 µs,88 µs,88 µs,87 µs,85 µs,88 µs,88 µs,86 µs,87 µs,85 µs,88 µs,87 µs,148 µs,101 µs,94 µs,98 µs,97 µs,97 µs,107 µs,94 µs,101 µs,102 µs,99 µs,96 µs,98 µs,105 µs,97 µs,96 µs,95 µs,96 µs,95 µs,96 µs,150 µs,95 µs,179 µs,226 µs,121 µs,129 µs,130 µs,94 µs,104 µs,108 µs,133 µs,110 µs,104 µs,137 µs,111 µs,
Picnic_L3_FS,168 µs,195 µs,146 µs,146 µs,149 µs,146 µs,170 µs,150 µs,145 µs,147 µs,144 µs,150 µs,174 µs,158 µs,177 µs,172 µs,183 µs,219 µs,142 µs,143 µs,165 µs,142 µs,136 µs,149 µs,139 µs,139 µs,140 µs,138 µs,139 µs,141 µs,243 µs,140 µs,147 µs,136 µs,136 µs,136 µs,135 µs,135 µs,136 µs,137 µs,136 µs,136 µs,134 µs,136 µs,136 µs,136 µs,137 µs,134 µs,136 µs,137 µs,137 µs,135 µs,133 µs,146 µs,142 µs,136 µs,136 µs,134 µs,164 µs,194 µs,148 µs,185 µs,135 µs,137 µs,138 µs,136 µs,136 µs,134 µs,142 µs,139 µs,136 µs,136 µs,134 µs,136 µs,137 µs,135 µs,138 µs,134 µs,136 µs,138 µs,138 µs,159 µs,289 µs,273 µs,140 µs,139 µs,138 µs,146 µs,146 µs,139 µs,155 µs,139 µs,133 µs,135 µs,136 µs,144 µs,136 µs,133 µs,136 µs,138 µs,
Picnic_L3_UR,137 µs,173 µs,134 µs,136 µs,137 µs,139 µs,137 µs,134 µs,136 µs,156 µs,185 µs,186 µs,180 µs,138 µs,136 µs,136 µs,135 µs,136 µs,138 µs,137 µs,137 µs,136 µs,136 µs,137 µs,136 µs,139 µs,138 µs,255 µs,153 µs,137 µs,136 µs,139 µs,134 µs,136 µs,138 µs,136 µs,136 µs,134 µs,136 µs,136 µs,175 µs,137 µs,134 µs,136 µs,137 µs,140 µs,137 µs,134 µs,136 µs,137 µs,145 µs,136 µs,136 µs,139 µs,137 µs,135 µs,138 µs,133 µs,142 µs,160 µs,143 µs,144 µs,192 µs,156 µs,169 µs,170 µs,154 µs,152 µs,160 µs,165 µs,178 µs,151 µs,143 µs,143 µs,163 µs,140 µs,141 µs,148 µs,141 µs,141 µs,140 µs,142 µs,140 µs,144 µs,213 µs,189 µs,146 µs,168 µs,140 µs,141 µs,142 µs,140 µs,140 µs,142 µs,179 µs,144 µs,141 µs,236 µs,149 µs,143 µs,
Picnic_L5_FS,223 µs,210 µs,208 µs,210 µs,208 µs,210 µs,210 µs,206 µs,211 µs,209 µs,210 µs,207 µs,207 µs,211 µs,229 µs,225 µs,208 µs,207 µs,204 µs,207 µs,206 µs,206 µs,205 µs,206 µs,205 µs,213 µs,243 µs,204 µs,209 µs,209 µs,215 µs,226 µs,411 µs,218 µs,239 µs,205 µs,206 µs,203 µs,204 µs,204 µs,207 µs,205 µs,212 µs,206 µs,204 µs,205 µs,205 µs,204 µs,214 µs,206 µs,207 µs,291 µs,203 µs,210 µs,207 µs,207 µs,207 µs,206 µs,207 µs,207 µs,208 µs,206 µs,202 µs,204 µs,205 µs,205 µs,207 µs,203 µs,207 µs,207 µs,230 µs,288 µs,209 µs,222 µs,205 µs,203 µs,204 µs,203 µs,206 µs,204 µs,205 µs,208 µs,204 µs,206 µs,205 µs,207 µs,207 µs,204 µs,206 µs,249 µs,205 µs,207 µs,205 µs,205 µs,207 µs,206 µs,207 µs,201 µs,206 µs,206 µs,
Picnic_L5_UR,207 µs,207 µs,203 µs,210 µs,207 µs,206 µs,205 µs,205 µs,248 µs,204 µs,205 µs,207 µs,203 µs,208 µs,207 µs,206 µs,206 µs,206 µs,208 µs,205 µs,207 µs,243 µs,205 µs,205 µs,206 µs,205 µs,225 µs,288 µs,221 µs,232 µs,228 µs,204 µs,201 µs,208 µs,206 µs,205 µs,206 µs,205 µs,207 µs,206 µs,207 µs,206 µs,205 µs,208 µs,212 µs,209 µs,310 µs,205 µs,206 µs,207 µs,206 µs,206 µs,205 µs,205 µs,206 µs,207 µs,208 µs,205 µs,206 µs,206 µs,205 µs,207 µs,202 µs,206 µs,249 µs,260 µs,220 µs,211 µs,225 µs,206 µs,205 µs,206 µs,205 µs,206 µs,205 µs,207 µs,223 µs,206 µs,228 µs,212 µs,212 µs,211 µs,210 µs,303 µs,211 µs,213 µs,207 µs,204 µs,204 µs,206 µs,205 µs,206 µs,207 µs,205 µs,204 µs,205 µs,206 µs,206 µs,227 µs,330 µs,
Picnic3_L1,71 µs,70 µs,68 µs,71 µs,113 µs,75 µs,74 µs,72 µs,94 µs,113 µs,74 µs,93 µs,67 µs,69 µs,69 µs,69 µs,70 µs,66 µs,69 µs,68 µs,69 µs,89 µs,84 µs,70 µs,69 µs,69 µs,69 µs,67 µs,69 µs,69 µs,69 µs,68 µs,67 µs,69 µs,69 µs,69 µs,68 µs,67 µs,69 µs,69 µs,69 µs,68 µs,68 µs,69 µs,90 µs,85 µs,68 µs,66 µs,69 µs,68 µs,70 µs,69 µs,66 µs,69 µs,69 µs,69 µs,69 µs,67 µs,70 µs,121 µs,80 µs,124 µs,70 µs,71 µs,70 µs,70 µs,75 µs,90 µs,69 µs,69 µs,69 µs,69 µs,67 µs,69 µs,69 µs,70 µs,69 µs,67 µs,69 µs,69 µs,69 µs,69 µs,67 µs,69 µs,69 µs,69 µs,69 µs,67 µs,70 µs,68 µs,69 µs,68 µs,67 µs,69 µs,69 µs,106 µs,69 µs,67 µs,70 µs,69 µs,
